stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,10,4.0,2.5,0.0,0.0,80,,False,False,4561,2783,61.0173,100000.00,934130.51,834130.51,834.13,-3.01,182.8833,16,13,-3875.80,9645.33,2.6469,182.8833,397,192.00,25.39,295281.25,500000.00,500000.00,1037.23
chandelier,5,4.0,1.0,0.0,0.0,80,,False,False,4568,3003,65.7399,100000.00,934129.07,834129.07,834.13,-2.27,182.6027,19,9,-2910.29,8457.34,2.8805,182.6027,1053,185.00,25.96,295959.72,500000.00,500000.00,1484.57
chandelier,5,4.0,1.5,0.0,0.0,80,,False,False,4568,2865,62.7189,100000.00,933882.10,833882.10,833.88,-3.02,182.5486,19,11,-3848.67,9176.26,2.7595,182.5486,694,185.00,25.96,295959.72,500000.00,500000.00,1068.86
chandelier,5,3.0,1.0,0.0,0.0,60,,False,False,4491,3027,67.4015,100000.00,933273.07,833273.07,833.27,-2.36,185.5429,20,8,-2758.99,9787.46,2.8785,185.5429,1078,262.00,32.26,323159.23,500000.00,500000.00,1438.95
chandelier,10,2.0,2.5,0.0,0.0,40,,False,False,4392,2890,65.8015,100000.00,932496.44,832496.44,832.50,-1.64,189.5484,16,9,-3117.60,6398.21,2.8575,189.5484,432,361.00,44.85,372752.52,500000.00,500000.00,2038.68
chandelier,20,3.0,2.0,0.0,0.0,60,,False,False,4504,2857,63.4325,100000.00,931841.50,831841.50,831.84,-2.71,184.6895,14,10,-3213.39,7632.07,2.6403,184.6895,615,249.00,33.30,331654.23,500000.00,500000.00,1164.88
chandelier,15,2.0,1.0,0.0,0.0,40,,False,False,4397,3139,71.3896,100000.00,931652.91,831652.91,831.65,-1.62,189.1410,22,9,-3214.26,9078.72,3.0558,189.1410,1178,356.00,45.01,375817.56,500000.00,500000.00,2229.83
chandelier,20,3.0,2.5,0.0,0.0,60,,False,False,4504,2821,62.6332,100000.00,928980.93,828980.93,828.98,-2.72,184.0544,14,10,-3213.39,8179.43,2.6122,184.0544,455,249.00,33.30,331654.23,500000.00,500000.00,1144.08
chandelier,15,3.0,1.0,0.0,0.0,60,,False,False,4505,3093,68.6570,100000.00,928693.56,828693.56,828.69,-2.78,183.9497,18,11,-3279.54,8520.19,2.8328,183.9497,1199,248.00,33.19,330427.90,500000.00,500000.00,1215.98
chandelier,20,4.0,3.0,0.0,0.0,80,,False,False,4548,2755,60.5761,100000.00,925151.83,825151.83,825.15,-3.27,181.4318,14,14,-4215.28,7786.50,2.6050,181.4318,332,205.00,25.40,296409.89,500000.00,500000.00,932.42
chandelier,15,2.0,1.5,0.0,0.0,40,,False,False,4397,2985,67.8872,100000.00,922094.45,822094.45,822.09,-1.61,186.9671,22,9,-3214.26,10181.90,2.8812,186.9671,806,356.00,45.01,375817.56,500000.00,500000.00,2093.76
chandelier,15,4.0,2.0,0.0,0.0,80,,False,False,4538,2805,61.8114,100000.00,918145.57,818145.57,818.15,-2.06,180.2877,12,14,-4084.35,7652.63,2.6379,180.2877,545,215.00,25.41,295452.03,500000.00,500000.00,1487.75
chandelier,15,2.0,2.0,0.0,0.0,40,,False,False,4397,2921,66.4317,100000.00,917684.29,817684.29,817.68,-1.61,185.9641,20,9,-3214.26,9543.64,2.8270,185.9641,580,356.00,45.01,375817.56,500000.00,500000.00,2044.51
chandelier,10,4.0,1.0,0.0,0.0,80,,False,False,4561,3012,66.0381,100000.00,917663.11,817663.11,817.66,-1.98,179.2728,19,10,-3228.43,8307.44,2.8046,179.2728,1096,192.00,25.39,295281.25,500000.00,500000.00,1646.35
chandelier,20,2.0,1.0,0.0,0.0,40,,False,False,4376,3110,71.0695,100000.00,916570.86,816570.86,816.57,-1.65,186.6021,23,9,-3146.19,9092.50,3.0018,186.6021,1171,377.00,44.95,376495.94,500000.00,500000.00,2123.02
chandelier,15,2.0,2.5,0.0,0.0,40,,False,False,4397,2898,65.9086,100000.00,915510.03,815510.03,815.51,-1.62,185.4696,20,9,-3214.26,10248.41,2.8034,185.4696,440,356.00,45.01,375817.56,500000.00,500000.00,2002.59
chandelier,20,3.0,1.0,0.0,0.0,60,,False,False,4504,3075,68.2726,100000.00,913299.48,813299.48,813.30,-2.71,180.5727,18,10,-3213.39,8511.32,2.7738,180.5727,1215,249.00,33.30,331654.23,500000.00,500000.00,1206.97
chandelier,15,4.0,1.0,0.0,0.0,80,,False,False,4538,3004,66.1966,100000.00,911788.56,811788.56,811.79,-2.18,178.8869,16,11,-3411.51,7320.83,2.7875,178.8869,1138,215.00,25.41,295452.03,500000.00,500000.00,1482.05
chandelier,15,2.0,3.0,0.0,0.0,40,,False,False,4397,2883,65.5674,100000.00,910852.87,810852.87,810.85,-1.63,184.4105,20,9,-3214.26,9938.95,2.7850,184.4105,336,356.00,45.01,375817.56,500000.00,500000.00,1974.81
chandelier,20,2.0,2.5,0.0,0.0,20,,False,False,4388,1883,42.9125,100000.00,181875.33,81875.33,81.88,-15.49,18.6589,13,14,-4400.41,5486.70,1.1057,18.6589,665,365.00,51.98,414415.65,500000.00,500000.00,11.73
chandelier,20,4.0,2.5,0.0,0.0,80,,False,False,4548,2769,60.8839,100000.00,909767.82,809767.82,809.77,-3.28,178.0492,14,14,-4215.28,7287.36,2.5820,178.0492,414,205.00,25.40,296409.89,500000.00,500000.00,908.84
chandelier,15,4.0,1.5,0.0,0.0,80,,False,False,4538,2862,63.0674,100000.00,908247.22,808247.22,808.25,-2.16,178.1065,16,11,-3411.51,7867.45,2.6620,178.1065,754,215.00,25.41,295452.03,500000.00,500000.00,1424.36
chandelier,10,4.0,1.5,0.0,0.0,80,,False,False,4561,2864,62.7932,100000.00,907244.55,807244.55,807.24,-1.99,176.9885,16,13,-3875.80,7872.01,2.6558,176.9885,718,192.00,25.39,295281.25,500000.00,500000.00,1537.09
chandelier,20,2.0,1.5,0.0,0.0,40,,False,False,4376,2955,67.5274,100000.00,907065.67,807065.67,807.07,-1.65,184.4300,23,9,-3146.19,10210.97,2.8351,184.4300,799,377.00,44.95,376495.94,500000.00,500000.00,1985.07
chandelier,20,2.0,2.0,0.0,0.0,40,,False,False,4376,2899,66.2477,100000.00,905877.81,805877.81,805.88,-1.65,184.1585,21,9,-3146.19,9596.75,2.7886,184.1585,578,377.00,44.95,376495.94,500000.00,500000.00,1945.92
chandelier,20,2.0,2.5,0.0,0.0,40,,False,False,4376,2876,65.7221,100000.00,902853.89,802853.89,802.85,-1.64,183.4675,21,9,-3146.19,10310.62,2.7664,183.4675,425,377.00,44.95,376495.94,500000.00,500000.00,1938.72
chandelier,20,2.0,3.0,0.0,0.0,40,,False,False,4376,2864,65.4479,100000.00,902092.66,802092.66,802.09,-1.66,183.2936,21,9,-3146.19,10094.27,2.7587,183.2936,320,377.00,44.95,376495.94,500000.00,500000.00,1900.97
chandelier,20,4.0,2.0,0.0,0.0,80,,False,False,4548,2800,61.5655,100000.00,901472.58,801472.58,801.47,-2.51,176.2253,19,11,-3598.91,9724.51,2.5894,176.2253,546,205.00,25.40,296409.89,500000.00,500000.00,1181.71
chandelier,20,4.0,1.0,0.0,0.0,80,,False,False,4548,2995,65.8531,100000.00,893220.65,793220.65,793.22,-2.32,174.4109,19,11,-3598.91,7901.19,2.7286,174.4109,1149,205.00,25.40,296409.89,500000.00,500000.00,1342.04
chandelier,15,2.0,2.5,0.0,0.0,20,,False,False,4383,1872,42.7105,100000.00,179676.11,79676.11,79.68,-13.97,18.1784,13,14,-4372.81,5486.50,1.1033,18.1784,658,370.00,53.43,415640.76,500000.00,500000.00,12.63
chandelier,15,2.0,1.5,0.0,0.0,20,,False,False,4383,2007,45.7906,100000.00,178176.22,78176.22,78.18,-12.04,17.8362,13,13,-4372.81,4884.87,1.1044,17.8362,1173,370.00,53.43,415640.76,500000.00,500000.00,14.69
chandelier,20,4.0,1.5,0.0,0.0,80,,False,False,4548,2846,62.5770,100000.00,879526.51,779526.51,779.53,-2.31,171.3998,19,11,-3598.91,9141.88,2.5783,171.3998,735,205.00,25.40,296409.89,500000.00,500000.00,1254.91
chandelier,20,2.0,3.0,0.0,0.0,20,,False,False,4388,1854,42.2516,100000.00,173697.64,73697.64,73.70,-14.93,16.7953,13,14,-4400.41,5806.23,1.0945,16.7953,494,365.00,51.98,414415.65,500000.00,500000.00,10.87
chandelier,5,3.0,3.0,0.0,0.0,20,,False,False,4592,1636,35.6272,100000.00,107418.10,7418.10,7.42,-28.16,1.6154,10,18,-5054.35,5760.60,1.0081,1.6154,509,161.00,33.45,351163.99,500000.00,500000.00,0.54
chandelier,15,2.0,3.0,0.0,0.0,20,,False,False,4383,1853,42.2770,100000.00,169261.40,69261.40,69.26,-15.63,15.8023,13,14,-4372.81,5835.48,1.0894,15.8023,494,370.00,53.43,415640.76,500000.00,500000.00,9.74
chandelier,5,4.0,3.0,0.0,0.0,60,,False,False,4551,2484,54.5814,100000.00,748368.72,648368.72,648.37,-3.50,142.4673,14,13,-4024.36,7716.93,2.1227,142.4673,337,202.00,27.53,309204.82,500000.00,500000.00,590.04
chandelier,10,4.0,3.0,0.0,0.0,60,,False,False,4557,2479,54.3998,100000.00,743110.28,643110.28,643.11,-3.36,141.1258,14,16,-4472.43,7626.35,2.0853,141.1258,371,196.00,27.56,310020.24,500000.00,500000.00,604.12
chandelier,5,4.0,2.5,0.0,0.0,60,,False,False,4551,2499,54.9110,100000.00,742905.41,642905.41,642.91,-3.49,141.2668,14,13,-4024.36,7348.36,2.1199,141.2668,431,202.00,27.53,309204.82,500000.00,500000.00,587.03
chandelier,5,4.0,2.0,0.0,0.0,60,,False,False,4551,2523,55.4384,100000.00,730284.16,630284.16,630.28,-3.56,138.4936,14,13,-4024.36,7425.25,2.1060,138.4936,577,202.00,27.53,309204.82,500000.00,500000.00,564.28
chandelier,15,4.0,3.0,0.0,0.0,60,,False,False,4537,2461,54.2429,100000.00,727967.33,627967.33,627.97,-3.47,138.4103,12,13,-4079.94,6006.35,2.0513,138.4103,387,216.00,27.24,310552.35,500000.00,500000.00,564.68
chandelier,10,4.0,2.5,0.0,0.0,60,,False,False,4557,2495,54.7509,100000.00,725569.96,625569.96,625.57,-3.40,137.2767,14,16,-4472.43,7779.33,2.0624,137.2767,463,196.00,27.56,310020.24,500000.00,500000.00,577.62
chandelier,15,1.0,1.0,0.0,0.0,20,,False,False,4079,2777,68.0804,100000.00,725534.86,625534.86,625.53,-1.23,153.3550,22,8,-1917.56,7482.14,3.1290,153.3550,1255,674.00,69.62,439594.38,500000.00,500000.00,2200.99
chandelier,5,1.0,1.0,0.0,0.0,20,,False,False,4111,2779,67.5991,100000.00,724245.27,624245.27,624.25,-1.45,151.8475,22,8,-1794.87,8212.01,3.0100,151.8475,1213,642.00,67.40,435217.60,500000.00,500000.00,1808.94
